constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
83.0,DARBHANGA,10.0,missing,Akhil Bharatiya Socialist Party,1853.0,3.0,1856.0,0.95,0.004896817068905212,0.0006995452955578874
221.0,NABINAGAR,3.0,missing,Bahujan Samaj Party,6578.0,17.0,6595.0,3.47,0.003497726477789437,0.06330884924798881
104.0,HATHUA,10.0,missing,Independent,2452.0,2.0,2454.0,1.25,0.0038474991255683807,0.3235396991955229
209.0,KARGAHAR,5.0,missing,Lok Shakti Party (Loktantrik),791.0,1.0,792.0,0.36,0.004547044421126268,0.001049317943336831
222.0,KUTUMBA,2.0,missing,Indian National Congress,62922.0,280.0,63202.0,36.4,0.004197271773347324,0.021336131514515563
29.0,RUNNISAIDPUR,2.0,missing,Bahujan Samaj Party,2091.0,1.0,2092.0,1.08,0.003497726477789437,0.06330884924798881
191.0,BIKRAM,3.0,missing,Bharatiya Janata Party,100864.0,325.0,101189.0,47.02,0.0038474991255683807,0.035327037425673315
200.0,BUXAR,12.0,missing,Independent,563.0,5.0,568.0,0.3,0.005596362364463099,0.3235396991955229
9.0,SIKTA,4.0,missing,Janata Dal (United),96911.0,262.0,97173.0,46.11,0.004197271773347324,0.035327037425673315
230.0,GAYA TOWN,10.0,missing,Gantantrik Samaj Party,335.0,1.0,336.0,0.2,0.008044770898915705,0.0013990905911157748
113.0,EKMA,8.0,missing,Independent,1257.0,0.0,1257.0,0.73,0.0038474991255683807,0.3235396991955229
87.0,JALE,9.0,missing,Independent,1865.0,0.0,1865.0,0.93,0.003497726477789437,0.3235396991955229
239.0,WARSALIGANJ,7.0,missing,Independent,387.0,0.0,387.0,0.19,0.003497726477789437,0.3235396991955229
90.0,MINAPUR,12.0,missing,None of the Above,7800.0,5.0,7805.0,3.55,0.004197271773347324,0.08499475341028331
131.0,KALYANPUR,7.0,missing,Independent,3191.0,2.0,3193.0,1.33,0.007345225603357817,0.3235396991955229
230.0,GAYA TOWN,8.0,missing,Peace Party,135.0,1.0,136.0,0.08,0.008044770898915705,0.0017488632388947185
133.0,SAMASTIPUR,6.0,missing,Rashtriya Jansambhavna Party,432.0,0.0,432.0,0.22,0.004547044421126268,0.017488632388947184
21.0,DHAKA,9.0,missing,Independent,495.0,0.0,495.0,0.2,0.0038474991255683807,0.3235396991955229
94.0,MUZAFFARPUR,8.0,missing,Jan Suraaj Party,10077.0,96.0,10173.0,5.41,0.007345225603357817,0.0832458901713886
35.0,BISFI,9.0,missing,None of the Above,1593.0,3.0,1596.0,0.77,0.0031479538300104933,0.08499475341028331
229.0,BODH GAYA,6.0,missing,Suheldev Bharatiya Samaj Party,1002.0,3.0,1005.0,0.43,0.0038474991255683807,0.00944386149003148
235.0,RAJAULI,3.0,missing,Rashtriya Lok Janshakti Party,2255.0,7.0,2262.0,1.13,0.004197271773347324,0.012591815320041973
235.0,RAJAULI,4.0,missing,Aam Aadmi Party,1201.0,5.0,1206.0,0.6,0.004197271773347324,0.029031129765652326
81.0,ALINAGAR,12.0,missing,Independent,869.0,1.0,870.0,0.5,0.004547044421126268,0.3235396991955229
30.0,BELSAND,9.0,missing,Independent,1441.0,1.0,1442.0,0.79,0.003497726477789437,0.3235396991955229
72.0,SINGHESHWAR,8.0,missing,Independent,3977.0,1.0,3978.0,1.74,0.0031479538300104933,0.3235396991955229
135.0,MORWA,2.0,missing,Rashtriya Janata Dal,77551.0,219.0,77770.0,39.53,0.003497726477789437,0.050017488632388946
60.0,RUPAULI,14.0,missing,Independent,3115.0,0.0,3115.0,1.38,0.005596362364463099,0.3235396991955229
154.0,PIRPAINTI,3.0,missing,Rashtriya Janata Dal,87291.0,210.0,87501.0,35.36,0.0038474991255683807,0.050017488632388946
127.0,RAJA PAKAR,9.0,missing,Aazad Samaj Party (Kanshi Ram),2976.0,13.0,2989.0,1.62,0.005246589716684155,0.0062959076600209865
14.0,GOVINDGANJ,7.0,missing,The Plurals Party,3768.0,2.0,3770.0,2.06,0.0031479538300104933,0.0062959076600209865
163.0,BELHAR,1.0,missing,Rashtriya Janata Dal,78087.0,100.0,78187.0,34.33,0.005596362364463099,0.050017488632388946
161.0,BANKA,5.0,missing,Jan Suraaj Party,6612.0,37.0,6649.0,3.45,0.005246589716684155,0.0832458901713886
73.0,MADHEPURA,6.0,missing,Jagrook Janta Party,496.0,1.0,497.0,0.21,0.004547044421126268,0.013990905911157748
3.0,NARKATIAGANJ,9.0,missing,Independent,676.0,0.0,676.0,0.34,0.004547044421126268,0.3235396991955229
37.0,RAJNAGAR,6.0,missing,Aam Janta Pragati Party,3568.0,0.0,3568.0,1.87,0.0027981811822315496,0.0031479538300104933
143.0,TEGHRA,6.0,missing,Jan Suraaj Party,8363.0,79.0,8442.0,3.97,0.004896817068905212,0.0832458901713886
27.0,BAJPATTI,10.0,missing,Independent,835.0,3.0,838.0,0.38,0.004896817068905212,0.3235396991955229
21.0,DHAKA,10.0,missing,Independent,1684.0,1.0,1685.0,0.68,0.0038474991255683807,0.3235396991955229
115.0,BANIAPUR,8.0,missing,Independent,3831.0,0.0,3831.0,1.91,0.0031479538300104933,0.3235396991955229
22.0,SHEOHAR,4.0,missing,Bajjikanchal Vikas Party,1464.0,0.0,1464.0,0.7,0.004197271773347324,0.002098635886673662
45.0,CHHATAPUR,12.0,missing,Independent,2210.0,2.0,2212.0,0.89,0.004896817068905212,0.3235396991955229
76.0,SIMRI BAKHTIARPUR,5.0,missing,Rashtrawadi Janlok Party (Satya),253.0,3.0,256.0,0.11,0.005596362364463099,0.002448408534452606
43.0,SUPAUL,3.0,missing,Indian National Congress,77747.0,535.0,78282.0,37.43,0.003497726477789437,0.021336131514515563
86.0,KEOTI,3.0,missing,Bharatiya Janata Party,88908.0,215.0,89123.0,46.28,0.0038474991255683807,0.035327037425673315
110.0,BARHARIA,8.0,missing,Independent,918.0,0.0,918.0,0.47,0.004197271773347324,0.3235396991955229
53.0,THAKURGANJ,3.0,missing,Rashtriya Janata Dal,59734.0,302.0,60036.0,24.45,0.0038474991255683807,0.050017488632388946
127.0,RAJA PAKAR,3.0,missing,Janata Dal (United),95630.0,628.0,96258.0,52.31,0.005246589716684155,0.035327037425673315
130.0,PATEPUR,8.0,missing,Independent,845.0,1.0,846.0,0.4,0.0038474991255683807,0.3235396991955229
85.0,BAHADURPUR,1.0,missing,Bahujan Samaj Party,2744.0,15.0,2759.0,1.3,0.0062959076600209865,0.06330884924798881
64.0,KADWA,16.0,missing,Independent,5605.0,10.0,5615.0,2.63,0.005946135012242042,0.3235396991955229
99.0,BAIKUNTHPUR,8.0,missing,None of the Above,2011.0,7.0,2018.0,0.95,0.0027981811822315496,0.08499475341028331
77.0,MAHISHI,13.0,missing,Independent,1199.0,2.0,1201.0,0.59,0.005246589716684155,0.3235396991955229
77.0,MAHISHI,2.0,missing,Rashtriya Janata Dal,93246.0,506.0,93752.0,46.19,0.005246589716684155,0.050017488632388946
115.0,BANIAPUR,3.0,missing,Bahujan Samaj Party,1800.0,6.0,1806.0,0.9,0.0031479538300104933,0.06330884924798881
155.0,KAHALGAON,2.0,missing,Bahujan Samaj Party,1451.0,2.0,1453.0,0.58,0.004896817068905212,0.06330884924798881
210.0,DINARA,2.0,missing,Bahujan Samaj Party,8361.0,21.0,8382.0,4.48,0.004547044421126268,0.06330884924798881
114.0,MANJHI,12.0,missing,Independent,1403.0,2.0,1405.0,0.79,0.004547044421126268,0.3235396991955229
241.0,JAMUI,7.0,missing,Independent,4969.0,13.0,4982.0,2.29,0.004547044421126268,0.3235396991955229
198.0,SHAHPUR,2.0,missing,Bharatiya Janata Party,87897.0,758.0,88655.0,49.69,0.004197271773347324,0.035327037425673315
85.0,BAHADURPUR,9.0,missing,Jantantra Awaj Party,401.0,0.0,401.0,0.19,0.0062959076600209865,0.002098635886673662
213.0,KARAKAT,13.0,missing,Independent,1206.0,0.0,1206.0,0.61,0.004896817068905212,0.3235396991955229
163.0,BELHAR,5.0,missing,Samata Party,424.0,1.0,425.0,0.19,0.005596362364463099,0.00664568030779993
64.0,KADWA,17.0,missing,None of the Above,3817.0,1.0,3818.0,1.79,0.005946135012242042,0.08499475341028331
86.0,KEOTI,6.0,missing,Akhil Bharatiya Socialist Party,306.0,0.0,306.0,0.16,0.0038474991255683807,0.0006995452955578874
87.0,JALE,7.0,missing,The Plurals Party,501.0,1.0,502.0,0.25,0.003497726477789437,0.0062959076600209865
45.0,CHHATAPUR,8.0,missing,Apna Adhikar Party,290.0,1.0,291.0,0.12,0.004896817068905212,0.001049317943336831
219.0,GOH,4.0,missing,Socialist Party (India),486.0,1.0,487.0,0.23,0.004197271773347324,0.0027981811822315496
125.0,VAISHALI,10.0,missing,Jan Suraaj Party,9047.0,61.0,9108.0,3.83,0.004896817068905212,0.0832458901713886
110.0,BARHARIA,4.0,missing,Bahujan Samaj Party,1290.0,1.0,1291.0,0.66,0.004197271773347324,0.06330884924798881
222.0,KUTUMBA,10.0,missing,Independent,1165.0,0.0,1165.0,0.67,0.004197271773347324,0.3235396991955229
4.0,BAGAHA,2.0,missing,Bharatiya Janata Party,106638.0,237.0,106875.0,47.39,0.0027981811822315496,0.035327037425673315
216.0,JEHANABAD,3.0,missing,Aam Aadmi Party,1172.0,3.0,1175.0,0.61,0.004197271773347324,0.029031129765652326
150.0,BELDAUR,2.0,missing,Indian National Congress,70794.0,293.0,71087.0,32.7,0.005246589716684155,0.021336131514515563
217.0,GHOSI,12.0,missing,None of the Above,3063.0,10.0,3073.0,1.79,0.004197271773347324,0.08499475341028331
242.0,JHAJHA,10.0,missing,None of the Above,4614.0,5.0,4619.0,1.89,0.003497726477789437,0.08499475341028331
95.0,KANTI,2.0,missing,Rashtriya Janata Dal,91136.0,368.0,91504.0,39.34,0.004896817068905212,0.050017488632388946
2.0,RAMNAGAR,1.0,missing,Bahujan Samaj Party,2649.0,14.0,2663.0,1.25,0.0031479538300104933,0.06330884924798881
33.0,KHAJAULI,6.0,missing,Independent,2651.0,19.0,2670.0,1.3,0.0031479538300104933,0.3235396991955229
45.0,CHHATAPUR,6.0,missing,Janta Dal Rashtravadi,567.0,1.0,568.0,0.23,0.004896817068905212,0.001049317943336831
39.0,PHULPARAS,7.0,missing,Rashtriya Jansambhavna Party,1379.0,2.0,1381.0,0.67,0.0038474991255683807,0.017488632388947184
47.0,RANIGANJ,5.0,missing,Independent,3105.0,21.0,3126.0,1.36,0.0027981811822315496,0.3235396991955229
98.0,SAHEBGANJ,3.0,missing,Bharatiya Janata Party,106077.0,245.0,106322.0,48.43,0.004896817068905212,0.035327037425673315
238.0,GOBINDPUR,5.0,missing,Indian National Socialistic Action Forces,698.0,0.0,698.0,0.39,0.003497726477789437,0.002448408534452606
22.0,SHEOHAR,6.0,missing,GaribJanta Party Loktantrik,1023.0,1.0,1024.0,0.49,0.004197271773347324,0.0006995452955578874
32.0,BENIPATTI,7.0,missing,Jan Suraaj Party,4190.0,30.0,4220.0,2.41,0.004197271773347324,0.0832458901713886
46.0,NARPATGANJ,7.0,missing,Apna Adhikar Party,235.0,2.0,237.0,0.1,0.005596362364463099,0.001049317943336831
195.0,AGIAON,6.0,missing,Jan Suraaj Party,3808.0,74.0,3882.0,2.53,0.003497726477789437,0.0832458901713886
50.0,JOKIHAT,9.0,missing,None of the Above,4003.0,0.0,4003.0,1.84,0.0031479538300104933,0.08499475341028331
20.0,CHIRAIA,7.0,missing,None of the Above,2474.0,0.0,2474.0,1.25,0.002448408534452606,0.08499475341028331
70.0,ALAMNAGAR,3.0,missing,Vikassheel Insaan Party,82874.0,62.0,82936.0,32.35,0.0038474991255683807,0.004197271773347324
90.0,MINAPUR,11.0,missing,Independent,2177.0,2.0,2179.0,0.99,0.004197271773347324,0.3235396991955229
220.0,OBRA,5.0,missing,Aam Janta Party Rashtriya,369.0,4.0,373.0,0.18,0.00664568030779993,0.0006995452955578874
75.0,SAHARSA,2.0,missing,Bharatiya Janata Party,112622.0,376.0,112998.0,43.5,0.0038474991255683807,0.035327037425673315
19.0,MOTIHARI,7.0,missing,Independent,2059.0,23.0,2082.0,0.97,0.003497726477789437,0.3235396991955229
209.0,KARGAHAR,4.0,missing,Rashtriya Sanatan Party,759.0,1.0,760.0,0.35,0.004547044421126268,0.0013990905911157748
150.0,BELDAUR,13.0,missing,Independent,1902.0,5.0,1907.0,0.88,0.005246589716684155,0.3235396991955229
58.0,KASBA,7.0,missing,Social Democratic Party Of India,1229.0,0.0,1229.0,0.52,0.004896817068905212,0.0006995452955578874
223.0,AURANGABAD,10.0,missing,Independent,370.0,2.0,372.0,0.19,0.005596362364463099,0.3235396991955229
16.0,KALYANPUR,11.0,missing,Independent,2504.0,8.0,2512.0,1.35,0.007345225603357817,0.3235396991955229
189.0,MASAURHI,4.0,missing,Jan Suraaj Party,4658.0,35.0,4693.0,2.08,0.003497726477789437,0.0832458901713886
28.0,SITAMARHI,6.0,missing,Lok Dal,168.0,1.0,169.0,0.08,0.004896817068905212,0.0006995452955578874
134.0,UJIARPUR,14.0,missing,Independent,1743.0,1.0,1744.0,0.76,0.005596362364463099,0.3235396991955229
174.0,ISLAMPUR,4.0,missing,Bharatiya Momin Front,437.0,1.0,438.0,0.23,0.004896817068905212,0.0017488632388947185
242.0,JHAJHA,2.0,missing,Rashtriya Janata Dal,103934.0,121.0,104055.0,42.67,0.003497726477789437,0.050017488632388946
133.0,SAMASTIPUR,12.0,missing,Independent,6172.0,21.0,6193.0,3.11,0.004547044421126268,0.3235396991955229
200.0,BUXAR,4.0,missing,Indian National Congress,56049.0,499.0,56548.0,29.98,0.005596362364463099,0.021336131514515563
126.0,MAHUA,15.0,missing,Independent,939.0,1.0,940.0,0.44,0.005596362364463099,0.3235396991955229
157.0,SULTANGANJ,10.0,missing,Independent,4278.0,8.0,4286.0,2.04,0.004547044421126268,0.3235396991955229
114.0,MANJHI,7.0,missing,Suheldev Bharatiya Samaj Party,1356.0,6.0,1362.0,0.77,0.004547044421126268,0.00944386149003148
60.0,RUPAULI,11.0,missing,Independent,475.0,0.0,475.0,0.21,0.005596362364463099,0.3235396991955229
185.0,FATUHA,11.0,missing,Independent,909.0,1.0,910.0,0.46,0.004547044421126268,0.3235396991955229
146.0,BEGUSARAI,6.0,missing,Janshakti Janta Dal,519.0,0.0,519.0,0.23,0.005246589716684155,0.015739769150052464
184.0,PATNA SAHIB,8.0,missing,Jan Suraaj Party,5230.0,33.0,5263.0,2.24,0.0038474991255683807,0.0832458901713886
220.0,OBRA,1.0,missing,Rashtriya Janata Dal,79025.0,600.0,79625.0,38.95,0.00664568030779993,0.050017488632388946
165.0,MUNGER,7.0,missing,Independent,273.0,2.0,275.0,0.13,0.004197271773347324,0.3235396991955229
195.0,AGIAON,8.0,missing,Independent,2503.0,5.0,2508.0,1.63,0.003497726477789437,0.3235396991955229
116.0,TARAIYA,6.0,missing,Vanchit Adhikar Party,976.0,2.0,978.0,0.51,0.005246589716684155,0.0006995452955578874
129.0,MAHNAR,16.0,missing,Independent,1726.0,3.0,1729.0,0.86,0.00664568030779993,0.3235396991955229
19.0,MOTIHARI,2.0,missing,Bharatiya Janata Party,105645.0,435.0,106080.0,49.5,0.003497726477789437,0.035327037425673315
15.0,KESARIA,7.0,missing,Independent,4342.0,0.0,4342.0,2.46,0.0038474991255683807,0.3235396991955229
120.0,AMNOUR,11.0,missing,Independent,2261.0,1.0,2262.0,1.33,0.004547044421126268,0.3235396991955229
20.0,CHIRAIA,2.0,missing,Bharatiya Janata Party,90308.0,264.0,90572.0,45.65,0.002448408534452606,0.035327037425673315
15.0,KESARIA,8.0,missing,Independent,2117.0,14.0,2131.0,1.21,0.0038474991255683807,0.3235396991955229
147.0,BAKHRI,1.0,missing,Rashtriya Lok Janshakti Party,2445.0,5.0,2450.0,1.19,0.003497726477789437,0.012591815320041973
214.0,ARWAL,2.0,missing,Bharatiya Janata Party,79400.0,454.0,79854.0,46.66,0.005596362364463099,0.035327037425673315
73.0,MADHEPURA,11.0,missing,Independent,7873.0,21.0,7894.0,3.29,0.004547044421126268,0.3235396991955229
94.0,MUZAFFARPUR,6.0,missing,Socialist Unity Centre Of India (COMMUNIST),171.0,0.0,171.0,0.09,0.007345225603357817,0.012591815320041973
40.0,LAUKAHA,12.0,missing,Independent,7623.0,29.0,7652.0,3.32,0.004896817068905212,0.3235396991955229
206.0,CHAINPUR,23.0,missing,None of the Above,1314.0,7.0,1321.0,0.58,0.008044770898915705,0.08499475341028331
214.0,ARWAL,4.0,missing,Bahujan Samaj Party,3706.0,13.0,3719.0,2.17,0.005596362364463099,0.06330884924798881
93.0,KURHANI,4.0,missing,Socialist Party (India),793.0,1.0,794.0,0.34,0.007345225603357817,0.0027981811822315496
200.0,BUXAR,6.0,missing,Kisan Samaj Party (S),480.0,6.0,486.0,0.26,0.005596362364463099,0.0003497726477789437
157.0,SULTANGANJ,12.0,missing,Independent,1250.0,1.0,1251.0,0.6,0.004547044421126268,0.3235396991955229
79.0,GAURA BAURAM,10.0,missing,Independent,437.0,0.0,437.0,0.26,0.004547044421126268,0.3235396991955229
10.0,RAXAUL,4.0,missing,Independent,1169.0,1.0,1170.0,0.54,0.002098635886673662,0.3235396991955229
228.0,BARACHATTI,11.0,missing,Independent,1346.0,0.0,1346.0,0.59,0.004197271773347324,0.3235396991955229
120.0,AMNOUR,10.0,missing,Independent,660.0,0.0,660.0,0.39,0.004547044421126268,0.3235396991955229
117.0,MARHAURA,1.0,missing,Rashtriya Janata Dal,85764.0,354.0,86118.0,47.97,0.003497726477789437,0.050017488632388946
110.0,BARHARIA,1.0,missing,Rashtriya Janata Dal,81340.0,124.0,81464.0,41.35,0.004197271773347324,0.050017488632388946
226.0,SHERGHATI,1.0,missing,Lok Janshakti Party (Ram Vilas),77118.0,152.0,77270.0,38.13,0.005246589716684155,0.009793634137810424
162.0,KATORIA,8.0,missing,Independent,960.0,1.0,961.0,0.49,0.0038474991255683807,0.3235396991955229
208.0,SASARAM,5.0,missing,Jagrook Janta Party,1016.0,1.0,1017.0,0.46,0.008044770898915705,0.013990905911157748
174.0,ISLAMPUR,6.0,missing,Rashtriya Samajwadi Lok Adhikar Party,157.0,1.0,158.0,0.08,0.004896817068905212,0.001049317943336831
152.0,BIHPUR,4.0,missing,Jan Suraaj Party,8789.0,32.0,8821.0,5.05,0.0038474991255683807,0.0832458901713886
91.0,BOCHAHAN,7.0,missing,Bajjikanchal Vikas Party,3811.0,1.0,3812.0,1.74,0.0031479538300104933,0.002098635886673662
40.0,LAUKAHA,8.0,missing,Suheldev Bharatiya Samaj Party,1880.0,2.0,1882.0,0.82,0.004896817068905212,0.00944386149003148
31.0,HARLAKHI,7.0,missing,Jagrook Janta Party,1091.0,0.0,1091.0,0.59,0.0038474991255683807,0.013990905911157748
190.0,PALIGANJ,7.0,missing,Suheldev Bharatiya Samaj Party,808.0,1.0,809.0,0.44,0.005246589716684155,0.00944386149003148
93.0,KURHANI,5.0,missing,Rashtriya Jansambhavna Party,555.0,0.0,555.0,0.24,0.007345225603357817,0.017488632388947184
110.0,BARHARIA,12.0,missing,None of the Above,3930.0,2.0,3932.0,2.0,0.004197271773347324,0.08499475341028331
216.0,JEHANABAD,11.0,missing,Independent,4316.0,14.0,4330.0,2.24,0.004197271773347324,0.3235396991955229
206.0,CHAINPUR,19.0,missing,Independent,779.0,0.0,779.0,0.34,0.008044770898915705,0.3235396991955229
76.0,SIMRI BAKHTIARPUR,10.0,missing,Independent,419.0,1.0,420.0,0.18,0.005596362364463099,0.3235396991955229
79.0,GAURA BAURAM,12.0,missing,Independent,6524.0,25.0,6549.0,3.89,0.004547044421126268,0.3235396991955229
203.0,RAMGARH,5.0,missing,Suheldev Bharatiya Samaj Party,1777.0,2.0,1779.0,0.91,0.002448408534452606,0.00944386149003148
93.0,KURHANI,13.0,missing,Independent,769.0,2.0,771.0,0.33,0.007345225603357817,0.3235396991955229
105.0,SIWAN,10.0,missing,Independent,226.0,1.0,227.0,0.12,0.004896817068905212,0.3235396991955229
113.0,EKMA,1.0,missing,Janata Dal (United),83844.0,233.0,84077.0,49.16,0.0038474991255683807,0.035327037425673315
110.0,BARHARIA,10.0,missing,Independent,4678.0,14.0,4692.0,2.38,0.004197271773347324,0.3235396991955229
72.0,SINGHESHWAR,4.0,missing,Jan Suraaj Party,3500.0,16.0,3516.0,1.53,0.0031479538300104933,0.0832458901713886
208.0,SASARAM,11.0,missing,Independent,602.0,1.0,603.0,0.27,0.008044770898915705,0.3235396991955229
218.0,MAKHDUMPUR,7.0,missing,Jan Suraaj Party,4740.0,63.0,4803.0,2.89,0.003497726477789437,0.0832458901713886
195.0,AGIAON,1.0,missing,Bharatiya Janata Party,69039.0,373.0,69412.0,45.2,0.003497726477789437,0.035327037425673315
223.0,AURANGABAD,16.0,missing,None of the Above,3346.0,6.0,3352.0,1.67,0.005596362364463099,0.08499475341028331
152.0,BIHPUR,2.0,missing,Bahujan Samaj Party,1231.0,5.0,1236.0,0.71,0.0038474991255683807,0.06330884924798881
217.0,GHOSI,1.0,missing,Bahujan Samaj Party,3688.0,27.0,3715.0,2.17,0.004197271773347324,0.06330884924798881
173.0,RAJGIR,2.0,missing,Communist Party of India (Marxist-Leninist) (Liberation),52126.0,257.0,52383.0,28.12,0.0027981811822315496,0.006995452955578874
18.0,MADHUBAN,5.0,missing,Jan Suraaj Party,5361.0,22.0,5383.0,2.93,0.0031479538300104933,0.0832458901713886
196.0,TARARI,14.0,missing,Independent,712.0,2.0,714.0,0.37,0.005596362364463099,0.3235396991955229
61.0,DHAMDAHA,4.0,missing,Rashtriya Jansambhavna Party,417.0,0.0,417.0,0.17,0.004197271773347324,0.017488632388947184
9.0,SIKTA,6.0,missing,Jagrook Janta Party,737.0,0.0,737.0,0.35,0.004197271773347324,0.013990905911157748
187.0,MANER,9.0,missing,Independent,637.0,0.0,637.0,0.28,0.004896817068905212,0.3235396991955229
80.0,BENIPUR,6.0,missing,Rashtriya Samajwadi Lok Adhikar Party,564.0,1.0,565.0,0.3,0.005246589716684155,0.001049317943336831
62.0,PURNIA,5.0,missing,Jan Suraaj Party,3670.0,31.0,3701.0,1.59,0.003497726477789437,0.0832458901713886
118.0,CHAPRA,1.0,missing,Bharatiya Janata Party,86561.0,284.0,86845.0,45.86,0.0038474991255683807,0.035327037425673315
219.0,GOH,2.0,missing,Bharatiya Janata Party,89282.0,301.0,89583.0,42.32,0.004197271773347324,0.035327037425673315
142.0,BACHHWARA,3.0,missing,Bharatiya Janata Party,100049.0,294.0,100343.0,45.03,0.0031479538300104933,0.035327037425673315
157.0,SULTANGANJ,7.0,missing,Jan Suraaj Party,4364.0,38.0,4402.0,2.1,0.004547044421126268,0.0832458901713886
198.0,SHAHPUR,8.0,missing,Independent,253.0,2.0,255.0,0.14,0.004197271773347324,0.3235396991955229
112.0,MAHARAJGANJ,7.0,missing,Jan Suraaj Party,8116.0,49.0,8165.0,4.35,0.004547044421126268,0.0832458901713886
122.0,SONEPUR,2.0,missing,Jan Suraaj Party,11888.0,89.0,11977.0,6.01,0.0031479538300104933,0.0832458901713886
26.0,SURSAND,12.0,missing,None of the Above,3131.0,3.0,3134.0,1.51,0.004197271773347324,0.08499475341028331
124.0,LALGANJ,5.0,missing,Lok Shakti Party (Loktantrik),603.0,8.0,611.0,0.25,0.0038474991255683807,0.001049317943336831
185.0,FATUHA,9.0,missing,Independent,566.0,2.0,568.0,0.29,0.004547044421126268,0.3235396991955229
85.0,BAHADURPUR,3.0,missing,Janata Dal (United),95949.0,351.0,96300.0,45.24,0.0062959076600209865,0.035327037425673315
202.0,RAJPUR,12.0,missing,Sanyukt Kisan Vikas Party,2753.0,0.0,2753.0,1.3,0.004896817068905212,0.001049317943336831
134.0,UJIARPUR,11.0,missing,Independent,993.0,2.0,995.0,0.43,0.005596362364463099,0.3235396991955229
211.0,NOKHA,8.0,missing,Jan Suraaj Party,4766.0,65.0,4831.0,2.65,0.004197271773347324,0.0832458901713886
190.0,PALIGANJ,6.0,missing,Bhartiya Lok Chetna Party,513.0,1.0,514.0,0.28,0.005246589716684155,0.005246589716684155
57.0,BAISI,2.0,missing,Bahujan Samaj Party,1025.0,0.0,1025.0,0.46,0.0027981811822315496,0.06330884924798881
166.0,JAMALPUR,6.0,missing,Jan Suraaj Party,3807.0,56.0,3863.0,1.92,0.005596362364463099,0.0832458901713886
82.0,DARBHANGA RURAL,4.0,missing,All India Majlis-E-Ittehadul Muslimeen,16966.0,42.0,17008.0,9.29,0.004896817068905212,0.009793634137810424
18.0,MADHUBAN,4.0,missing,Bahujan Samaj Party,1503.0,5.0,1508.0,0.82,0.0031479538300104933,0.06330884924798881
59.0,BANMANKHI,5.0,missing,Jan Suraaj Party,6656.0,20.0,6676.0,3.12,0.002098635886673662,0.0832458901713886
126.0,MAHUA,2.0,missing,Bahujan Samaj Party,6678.0,61.0,6739.0,3.19,0.005596362364463099,0.06330884924798881
33.0,KHAJAULI,4.0,missing,Aadarsh Mithila Party,528.0,4.0,532.0,0.26,0.0031479538300104933,0.001049317943336831
75.0,SAHARSA,5.0,missing,Jan Suraaj Party,12655.0,131.0,12786.0,4.92,0.0038474991255683807,0.0832458901713886
76.0,SIMRI BAKHTIARPUR,3.0,missing,Bahujan Samaj Party,1379.0,8.0,1387.0,0.59,0.005596362364463099,0.06330884924798881
237.0,NAWADA,5.0,missing,Jan Suraaj Party,19185.0,164.0,19349.0,9.6,0.004547044421126268,0.0832458901713886
41.0,NIRMALI,2.0,missing,Aam Aadmi Party,2505.0,5.0,2510.0,1.12,0.0031479538300104933,0.029031129765652326
193.0,BARHARA,1.0,missing,Rashtriya Janata Dal,64751.0,439.0,65190.0,35.8,0.004896817068905212,0.050017488632388946
22.0,SHEOHAR,2.0,missing,Bahujan Samaj Party,16357.0,112.0,16469.0,7.84,0.004197271773347324,0.06330884924798881
71.0,BIHARIGANJ,7.0,missing,Independent,1658.0,1.0,1659.0,0.74,0.0027981811822315496,0.3235396991955229
183.0,KUMHRAR,10.0,missing,Akhand Bharat Janpriya Party,215.0,0.0,215.0,0.12,0.004896817068905212,0.0003497726477789437
19.0,MOTIHARI,4.0,missing,Jan Suraaj Party,6521.0,71.0,6592.0,3.08,0.003497726477789437,0.0832458901713886
28.0,SITAMARHI,1.0,missing,Bahujan Samaj Party,1331.0,3.0,1334.0,0.62,0.004896817068905212,0.06330884924798881
55.0,KOCHADHAMAN,5.0,missing,All India Majlis-E-Ittehadul Muslimeen,81678.0,182.0,81860.0,42.34,0.002448408534452606,0.009793634137810424
9.0,SIKTA,5.0,missing,Jan Suraaj Party,8143.0,38.0,8181.0,3.88,0.004197271773347324,0.0832458901713886
24.0,BATHNAHA,8.0,missing,"Proutist Bloc, India",583.0,0.0,583.0,0.27,0.004197271773347324,0.0031479538300104933
24.0,BATHNAHA,5.0,missing,Janshakti Vikas Party (Democratic),825.0,0.0,825.0,0.38,0.004197271773347324,0.002448408534452606
36.0,MADHUBANI,3.0,missing,Rashtriya Jansambhavna Party,1849.0,3.0,1852.0,0.88,0.003497726477789437,0.017488632388947184
243.0,CHAKAI,4.0,missing,Jagrook Janta Party,1265.0,0.0,1265.0,0.54,0.0038474991255683807,0.013990905911157748
11.0,SUGAULI,2.0,missing,Lok Janshakti Party (Ram Vilas),98595.0,280.0,98875.0,49.74,0.002098635886673662,0.009793634137810424
34.0,BABUBARHI,2.0,missing,Janata Dal (United),97947.0,274.0,98221.0,47.61,0.004197271773347324,0.035327037425673315
209.0,KARGAHAR,13.0,missing,None of the Above,3012.0,1.0,3013.0,1.37,0.004547044421126268,0.08499475341028331
41.0,NIRMALI,3.0,missing,Bahujan Samaj Party,1339.0,5.0,1344.0,0.6,0.0031479538300104933,0.06330884924798881
