constituency_number,constituency_name,serial_number,candidate_name,party,evm_votes,postal_votes,total_votes,vote_percentage,constituency_name_freq,party_freq
97.0,PAROO,4.0,missing,Rashtriya Lok Morcha,66283.0,162.0,66445.0,29.12,0.0038474991255683807,0.002098635886673662
161.0,BANKA,13.0,missing,Independent,2240.0,1.0,2241.0,1.16,0.005246589716684155,0.3235396991955229
240.0,SIKANDRA,2.0,missing,Rashtriya Lok Janshakti Party,1537.0,14.0,1551.0,0.8,0.0038474991255683807,0.012591815320041973
123.0,HAJIPUR,10.0,missing,Independent,1836.0,15.0,1851.0,0.82,0.004547044421126268,0.3235396991955229
43.0,SUPAUL,5.0,missing,Jan Suraaj Party,5029.0,110.0,5139.0,2.46,0.003497726477789437,0.0832458901713886
183.0,KUMHRAR,5.0,missing,"Proutist Bloc, India",561.0,0.0,561.0,0.32,0.004896817068905212,0.0031479538300104933
161.0,BANKA,15.0,missing,None of the Above,1547.0,5.0,1552.0,0.8,0.005246589716684155,0.08499475341028331
95.0,KANTI,10.0,missing,Independent,748.0,3.0,751.0,0.32,0.004896817068905212,0.3235396991955229
144.0,MATIHANI,2.0,missing,Janata Dal (United),112047.0,452.0,112499.0,45.52,0.002448408534452606,0.035327037425673315
42.0,PIPRA,7.0,missing,Jai Hind Party,1589.0,0.0,1589.0,0.71,0.009094088842252535,0.0003497726477789437
208.0,SASARAM,22.0,missing,Independent,2775.0,13.0,2788.0,1.26,0.008044770898915705,0.3235396991955229
63.0,KATIHAR,3.0,missing,All India Majlis-E-Inquilab-E-Millat,1202.0,3.0,1205.0,0.61,0.004197271773347324,0.0003497726477789437
68.0,BARARI,8.0,missing,Independent,368.0,1.0,369.0,0.16,0.005246589716684155,0.3235396991955229
120.0,AMNOUR,1.0,missing,Bharatiya Janata Party,75298.0,227.0,75525.0,44.52,0.004547044421126268,0.035327037425673315
47.0,RANIGANJ,4.0,missing,Aapki Apni Adhikar Party,1005.0,0.0,1005.0,0.44,0.0027981811822315496,0.0003497726477789437
39.0,PHULPARAS,11.0,missing,None of the Above,4198.0,8.0,4206.0,2.05,0.0038474991255683807,0.08499475341028331
125.0,VAISHALI,7.0,missing,Ambedkar National Congress,841.0,6.0,847.0,0.36,0.004896817068905212,0.001049317943336831
